account_id,company_name,sector,industry,province,country,employee_count,annual_budget_multiplier,price_sensitivity,service_attachment,source,account_tier,website
ACC00001,Norte Solutions S.R.L.,Construcción,Construction,Buenos Aires,Argentina,779,1.12,0.329,0.52,public_directory,A,https://aconcagua-industrial-s-a.com.ar
ACC00002,Cumbre Industrial Servicios,Oil & Gas,Oil & Gas,Santa Cruz,Argentina,4339,1.47,0.226,0.75,partner_referral,B,https://cumbre-infraestructura-s-a.com.ar
ACC00003,Aconcagua Logística Group,Construcción,Construction,CABA,Argentina,734,0.96,0.348,0.52,website_form,A,https://patagonia-logística-group.com.ar
ACC00004,Litoral Oil S.A.,Construcción,Construction,Buenos Aires,Argentina,767,0.92,0.244,0.52,public_directory,C,https://sur-tecnología-s-r-l.com.ar
ACC00005,Pampa Infraestructura S.A.,Construcción,Construction,Buenos Aires,Argentina,697,1.16,0.264,0.52,partner_referral,B,https://sur-servicios-group.com.ar
ACC00006,Patagonia Tecnología Argentina,Minería,Mining,Río Negro,Argentina,1193,1.29,0.114,0.72,partner_referral,B,https://austral-solutions-argentina.com.ar
ACC00007,Andes Logística Corp.,Minería,Mining,Catamarca,Argentina,1038,1.12,0.208,0.72,public_directory,C,https://sur-solutions-argentina.com.ar
ACC00008,Norte Servicios S.R.L.,Energía,Utilities,Mendoza,Argentina,665,1.26,0.197,0.68,public_directory,B,https://pampa-servicios-servicios.com.ar
ACC00009,Delta Servicios Argentina,Energía,Utilities,Buenos Aires,Argentina,529,1.21,0.189,0.68,public_directory,C,https://austral-infraestructura-servicios.com.ar
ACC00010,Patagonia Oil Group,Manufactura,Manufacturing,Buenos Aires,Argentina,1443,0.99,0.227,0.61,partner_referral,A,https://norte-oil-s-r-l.com.ar
ACC00011,Austral Tecnología S.R.L.,Energía,Energy,Buenos Aires,Argentina,1302,1.13,0.149,0.68,public_directory,C,https://cumbre-logística-corp.com.ar
ACC00012,Pampa Industrial S.R.L.,Oil & Gas,Oil & Gas,Chubut,Argentina,2719,1.19,0.187,0.75,website_form,C,https://austral-servicios-s-r-l.com.ar
ACC00013,Norte Oil Servicios,Construcción,Construction,Santa Fe,Argentina,189,1.19,0.384,0.52,outbound_research,C,https://aconcagua-logística-corp.com.ar
ACC00014,Pampa Solutions S.A.,Manufactura,Manufacturing,Mendoza,Argentina,297,0.96,0.251,0.61,public_directory,B,https://patagonia-industrial-s-r-l.com.ar
ACC00015,Patagonia Oil S.R.L.,Oil & Gas,Oil & Gas,Neuquén,Argentina,2906,1.45,0.139,0.75,outbound_research,C,https://cumbre-tecnología-corp.com.ar
ACC00016,Pampa Energía S.A.,Minería,Mining,San Juan,Argentina,1767,1.22,0.138,0.72,website_form,B,https://patagonia-industrial-corp.com.ar
ACC00017,Pampa Solutions Servicios,Construcción,Construction,Buenos Aires,Argentina,274,0.94,0.22,0.52,partner_referral,B,https://patagonia-minera-servicios.com.ar
