service_id,date,account_id,company_name,province,service_family,service_item,ticket_type,sla_hours,resolved,parts_used,labor_hours,revenue_usd
SRV_ACC00001_01,2025-06-19,ACC00001,Norte Solutions S.R.L.,Buenos Aires,Servicio técnico,Mantenimiento correctivo,preventive,8,1,1,0.5,17107.11
SRV_ACC00002_01,2024-07-31,ACC00002,Cumbre Industrial Servicios,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,corrective,4,0,3,4.79,10876.61
SRV_ACC00002_02,2024-10-26,ACC00002,Cumbre Industrial Servicios,Santa Cruz,Servicio técnico,Mantenimiento correctivo,corrective,48,1,6,2.41,4391.62
SRV_ACC00002_03,2025-01-22,ACC00002,Cumbre Industrial Servicios,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,preventive,48,1,5,1.21,1093.29
SRV_ACC00002_04,2025-10-15,ACC00002,Cumbre Industrial Servicios,Santa Cruz,Auditoria de Aire Sullair,Auditoría industrial,corrective,12,1,2,3.59,4403.34
SRV_ACC00002_05,2025-04-17,ACC00002,Cumbre Industrial Servicios,Santa Cruz,Servicio técnico,Mantenimiento correctivo,preventive,24,0,3,10.4,15778.57
SRV_ACC00003_01,2025-06-30,ACC00003,Aconcagua Logística Group,CABA,Cursos de capacitación,Capacitación técnica,audit,24,1,6,7.0,3824.8
SRV_ACC00003_02,2026-01-06,ACC00003,Aconcagua Logística Group,CABA,Auditoria de Aire Sullair,Auditoría industrial,corrective,48,1,1,3.81,10954.26
SRV_ACC00003_03,2024-08-13,ACC00003,Aconcagua Logística Group,CABA,Sistema de mantenimiento planificado,Contrato de mantenimiento,preventive,4,0,3,5.55,48312.38
SRV_ACC00004_01,2026-01-05,ACC00004,Litoral Oil S.A.,Buenos Aires,Auditoria de Aire Sullair,Auditoría industrial,training,4,1,1,4.99,3102.89
SRV_ACC00004_02,2024-06-15,ACC00004,Litoral Oil S.A.,Buenos Aires,Auditoria de Aire Sullair,Auditoría industrial,audit,8,1,4,0.72,1366.18
SRV_ACC00005_01,2024-04-27,ACC00005,Pampa Infraestructura S.A.,Buenos Aires,Servicio técnico,Mantenimiento correctivo,corrective,48,1,0,1.73,3063.32
SRV_ACC00005_02,2025-07-20,ACC00005,Pampa Infraestructura S.A.,Buenos Aires,Cursos de capacitación,Capacitación técnica,preventive,24,1,4,1.39,1372.32
SRV_ACC00006_01,2024-04-25,ACC00006,Patagonia Tecnología Argentina,Río Negro,Cursos de capacitación,Capacitación técnica,preventive,4,1,2,2.72,4400.89
SRV_ACC00006_02,2025-05-08,ACC00006,Patagonia Tecnología Argentina,Río Negro,Cursos de capacitación,Capacitación técnica,corrective,4,1,0,7.83,1948.45
SRV_ACC00006_03,2025-05-09,ACC00006,Patagonia Tecnología Argentina,Río Negro,Cursos de capacitación,Capacitación técnica,preventive,24,1,1,5.63,3304.75
SRV_ACC00006_04,2025-11-01,ACC00006,Patagonia Tecnología Argentina,Río Negro,Auditoria de Aire Sullair,Auditoría industrial,preventive,8,1,0,6.84,9292.65
SRV_ACC00006_05,2025-07-01,ACC00006,Patagonia Tecnología Argentina,Río Negro,Servicio técnico,Mantenimiento correctivo,audit,24,1,5,11.02,6401.26
SRV_ACC00007_01,2025-08-15,ACC00007,Andes Logística Corp.,Catamarca,Servicio técnico,Mantenimiento correctivo,training,8,1,2,4.52,16431.45
SRV_ACC00007_02,2026-02-07,ACC00007,Andes Logística Corp.,Catamarca,Sistema de mantenimiento planificado,Contrato de mantenimiento,training,8,1,2,7.35,21683.05
SRV_ACC00007_03,2024-07-25,ACC00007,Andes Logística Corp.,Catamarca,Auditoria de Aire Sullair,Auditoría industrial,preventive,24,1,1,2.65,821.15
SRV_ACC00007_04,2024-10-02,ACC00007,Andes Logística Corp.,Catamarca,Cursos de capacitación,Capacitación técnica,preventive,48,1,4,3.03,2493.53
SRV_ACC00008_01,2024-04-28,ACC00008,Norte Servicios S.R.L.,Mendoza,Auditoria de Aire Sullair,Auditoría industrial,training,12,1,2,1.58,5324.84
SRV_ACC00009_01,2025-05-31,ACC00009,Delta Servicios Argentina,Buenos Aires,Servicio técnico,Mantenimiento correctivo,corrective,24,0,3,9.85,19171.89
SRV_ACC00009_02,2024-10-31,ACC00009,Delta Servicios Argentina,Buenos Aires,Servicio técnico,Mantenimiento correctivo,audit,48,1,2,0.91,13572.04
SRV_ACC00009_03,2024-06-11,ACC00009,Delta Servicios Argentina,Buenos Aires,Auditoria de Aire Sullair,Auditoría industrial,corrective,8,1,1,2.51,8558.97
SRV_ACC00010_01,2024-09-30,ACC00010,Patagonia Oil Group,Buenos Aires,Cursos de capacitación,Capacitación técnica,training,48,1,1,1.23,1106.97
SRV_ACC00010_02,2025-12-03,ACC00010,Patagonia Oil Group,Buenos Aires,Auditoria de Aire Sullair,Auditoría industrial,training,12,1,1,6.76,1877.76
SRV_ACC00011_01,2026-01-06,ACC00011,Austral Tecnología S.R.L.,Buenos Aires,Cursos de capacitación,Capacitación técnica,preventive,24,1,3,6.33,1074.55
SRV_ACC00011_02,2025-11-19,ACC00011,Austral Tecnología S.R.L.,Buenos Aires,Cursos de capacitación,Capacitación técnica,preventive,24,1,2,2.95,1559.53
SRV_ACC00012_01,2024-10-03,ACC00012,Pampa Industrial S.R.L.,Chubut,Servicio técnico,Mantenimiento correctivo,training,24,1,2,1.16,18026.56
SRV_ACC00012_02,2024-04-20,ACC00012,Pampa Industrial S.R.L.,Chubut,Cursos de capacitación,Capacitación técnica,preventive,12,1,0,5.84,3796.97
SRV_ACC00013_01,2024-10-14,ACC00013,Norte Oil Servicios,Santa Fe,Auditoria de Aire Sullair,Auditoría industrial,corrective,8,1,1,6.49,1695.39
